quoteID	quoteText	subQuotationList	referringExpression
Q10	J’espère qu’il tombera dans de bonnes mains, continua le vieux gentleman. Il doit avoir une jolie somme qui l’attend, si Kelso a bien fait les choses à son égard. Sa mère avait aussi de la fortune. Toutes les propriétés de Selby lui sont revenues, par son grand-père. Celui-ci haïssait Kelso, le jugeant un horrible Harpagon. Et il l’était bien ! Il vint une fois à Madrid lorsque j’y étais… Ma foi ! j’en fus honteux. La reine me demandait quel était ce gentilhomme Anglais qui se querellait sans cesse avec les cochers pour les payer. Ce fut toute une histoire. Un mois durant je n’osais me montrer à la Cour. J’espère qu’il a mieux traité son petit-fils que ces drôles.	['J’espère qu’il tombera dans de bonnes mains', 'Il doit avoir une jolie somme qui l’attend, si Kelso a bien fait les choses à son égard', 'Sa mère avait aussi de la fortune', 'Toutes les propriétés de Selby lui sont revenues, par son grand-père', 'Celui-ci haïssait Kelso, le jugeant un horrible Harpagon', 'Et il l’était bien !', 'Il vint une fois à Madrid lorsque j’y étais…', 'Ma foi ! j’en fus honteux', 'La reine me demandait quel était ce gentilhomme Anglais qui se querellait sans cesse avec les cochers pour les payer', 'Ce fut toute une histoire', 'Un mois durant je n’osais me montrer à la Cour', 'J’espère qu’il a mieux traité son petit-fils que ces drôles.']	continua le vieux gentleman
Q11	Je ne sais. Je suppose que le jeune homme sera très bien. Il n’est pas majeur. Je sais qu’il possède Selby. Il me l’a dit. Et… sa mère était vraiment belle !	['Je ne sais.', 'Je suppose que le jeune homme sera très bien.', 'Il n’est pas majeur.', 'Je sais qu’il possède Selby.', 'Il me l’a dit.', 'Et… sa mère était vraiment belle !']	répondit lord Henry
Q12	Margaret Devereux était une des plus adorables créatures que j’aie vues, Harry. Je n’ai jamais compris comment elle a pu agir comme elle l’a fait. Elle aurait pu épouser n’importe qui, Carlington en était fou : elle était romanesque, sans doute. Toutes les femmes de cette famille le furent. Les hommes étaient bien peu de chose, mais les femmes, merveilleuses !	['Margaret Devereux était une des plus adorables créatures que j’aie vues, Harry.', 'Je n’ai jamais compris comment elle a pu agir comme elle l’a fait.', 'Elle aurait pu épouser n’importe qui, Carlington en était fou : elle était romanesque, sans doute.', 'Toutes les femmes de cette famille le furent.', 'Les hommes étaient bien peu de chose, mais les femmes, merveilleuses !']	
Q13	Carlington se traînait à ses genoux ; il me l’a dit lui-même. Elle lui rit au nez, et cependant, pas une fille de Londres qui ne courût après lui. Et à propos, Harry, pendant que nous causons de mariages ridicules, quelle est donc cette farce que m’a contée votre père au sujet de Dartmoor qui veut épouser une Américaine. Il n’y a donc plus de jeunes Anglaises assez bonnes pour lui ?	['Carlington se traînait à ses genoux ; il me l’a dit lui-même.', 'Elle lui rit au nez, et cependant, pas une fille de Londres qui ne courût après lui.', 'Et à propos, Harry, pendant que nous causons de mariages ridicules, quelle est donc cette farce que m’a contée votre père au sujet de Dartmoor qui veut épouser une Américaine.', 'Il n’y a donc plus de jeunes Anglaises assez bonnes pour lui ?']	
Q14	C’est assez élégant en ce moment d’épouser des Américaines, oncle Georges.	['C’est assez élégant en ce moment d’épouser des Américaines, oncle Georges.']	
Q15	Je soutiendrai les Anglaises contre le monde entier ! Harry,	['Je soutiendrai les Anglaises contre le monde entier ! Harry,']	fit lord Fermor en frappant du point sur la table
Q16	Les paris sont pour les Américaines.	['Les paris sont pour les Américaines.']	
Q17	Elles n’ont point de résistance m’a-t-on dit,	['Elles n’ont point de résistance m’a-t-on dit,']	grommela l’oncle
Q18	Une longue course les épuise, mais elles sont supérieures au steeple-chase. Elles prennent les choses au vol ; je crois que Dartmoor n’a guère de chances.	['Une longue course les épuise, mais elles sont supérieures au steeple-chase.', 'Elles prennent les choses au vol ; je crois que Dartmoor n’a guère de chances.']	
Q19	Quel est son monde ? a-t-elle beaucoup d’argent !	['Quel est son monde ?', 'a-t-elle beaucoup d’argent !']	répartit le vieux gentleman
Q20	Les Américaines sont aussi habiles à cacher leurs parents que les Anglais à dissimuler leur passé.	['Les Américaines sont aussi habiles à cacher leurs parents que les Anglais à dissimuler leur passé.']	dit-il en se levant pour partir
Q21	Ce sont des marchands de cochons, je suppose ?	['Ce sont des marchands de cochons, je suppose ?']	
Q22	Je l’espère, oncle Georges, pour le bonheur de Dartmoor. J’ai entendu dire que vendre des cochons était en Amérique, la profession la plus lucrative, après la politique.	['Je l’espère, oncle Georges, pour le bonheur de Dartmoor.', 'J’ai entendu dire que vendre des cochons était en Amérique, la profession la plus lucrative, après la politique.']	
Q23	Est-elle jolie ?	['Est-elle jolie ?']	
Q24	Elle se conduit comme si elle l’était. Beaucoup d’Américaines agissent de la sorte. C’est le secret de leurs charmes.	['Elle se conduit comme si elle l’était.', 'Beaucoup d’Américaines agissent de la sorte.', 'C’est le secret de leurs charmes.']	
Q25	Pourquoi ces Américaines ne restent-elles pas dans leurs pays. Elles nous chantent sans cesse que c’est un paradis pour les femmes.	['Pourquoi ces Américaines ne restent-elles pas dans leurs pays.', 'Elles nous chantent sans cesse que c’est un paradis pour les femmes.']	
Q26	Et c’est vrai, mais c’est la raison pour laquelle, comme Ève, elles sont si empressées d’en sortir. Au revoir, oncle Georges, je serais en retard pour déjeuner si je tardais plus longtemps ; merci pour vos bons renseignements. J’aime toujours à connaître tout ce qui concerne mes nouveaux amis, mais je ne demande rien sur les anciens.	['Et c’est vrai, mais c’est la raison pour laquelle, comme Ève, elles sont si empressées d’en sortir.', 'Au revoir, oncle Georges, je serais en retard pour déjeuner si je tardais plus longtemps ; merci pour vos bons renseignements.', 'J’aime toujours à connaître tout ce qui concerne mes nouveaux amis, mais je ne demande rien sur les anciens.']	dit lord Henry
Q27	Où déjeunez-vous Harry ?	['Où déjeunez-vous Harry ?']	
Q28	Chez tante Agathe. Je me suis invité avec M. Gray, c’est son dernier protégé.	['Chez tante Agathe.', 'Je me suis invité avec M. Gray, c’est son dernier protégé.']	
Q29	Bah ! dites donc à votre tante Agathe, Harry, de ne plus m’assommer avec ses œuvres de charité. J’en suis excédé. La bonne femme croit-elle donc que je n’aie rien de mieux à faire que de signer des chèques en faveur de ses vilains drôles.	['Bah ! dites donc à votre tante Agathe, Harry, de ne plus m’assommer avec ses œuvres de charité.', 'J’en suis excédé.', 'La bonne femme croit-elle donc que je n’aie rien de mieux à faire que de signer des chèques en faveur de ses vilains drôles.']	
Q30	Très bien, oncle Georges, je le lui dirai, mais cela n’aura aucun effet. Les philanthropes ont perdu toute notion d’humanité. C’est leur caractère distinctif.	['Très bien, oncle Georges, je le lui dirai, mais cela n’aura aucun effet.', 'Les philanthropes ont perdu toute notion d’humanité.', 'C’est leur caractère distinctif.']	
Q31	Oui, c’était un bien curieux fond de tableau.	['Oui, c’était un bien curieux fond de tableau.']	
Q32	Comme il avait été charmant au dîner de la veille, lorsqu’avec ses beaux yeux et ses lèvres frémissantes de plaisir et de crainte, il s’était assis en face de lui au club, les bougies pourprées mettant une roseur sur son beau visage ravi.	['Comme il avait été charmant au dîner de la veille, lorsqu’avec ses beaux yeux et ses lèvres frémissantes de plaisir et de crainte, il s’était assis en face de lui au club, les bougies pourprées mettant une roseur sur son beau visage ravi.']	
Q33	C’est qu’il était un merveilleux échantillon d’humanité, cet adolescent que par un si étrange hasard, il avait rencontré dans l’atelier de Basil ; on en pouvait faire un absolu type de beauté.	['C’est qu’il était un merveilleux échantillon d’humanité, cet adolescent que par un si étrange hasard, il avait rencontré dans l’atelier de Basil ; on en pouvait faire un absolu type de beauté.']	
Q34	Quel malheur qu’une telle beauté fût destinée à se faner !	['Quel malheur qu’une telle beauté fût destinée à se faner !']	
Q35	Et Basil, comme il était intéressant, au point de vue du psychologue !	['Et Basil, comme il était intéressant, au point de vue du psychologue !']	
Q36	Oui, il essaierait d’être à Dorian Gray, ce que, sans le savoir, l’adolescent était au peintre qui avait tracé son splendide portrait.	['Oui, il essaierait d’être à Dorian Gray, ce que, sans le savoir, l’adolescent était au peintre qui avait tracé son splendide portrait.']	
Q37	Il ferait sien cet être merveilleux.	['Il ferait sien cet être merveilleux.']	
Q38	Il y avait quelque chose de fascinant dans ce fils de l’Amour et de la Mort.	['Il y avait quelque chose de fascinant dans ce fils de l’Amour et de la Mort.']	
Q39	En retard, comme d’habitude, Harry !	['En retard, comme d’habitude, Harry !']	lui cria sa tante en secouant la tête
Q40	Nous parlions de ce jeune Dartmoor, lord Henry, Pensez-vous qu’il épousera réellement cette séduisante jeune personne ?	['Nous parlions de ce jeune Dartmoor, lord Henry,', 'Pensez-vous qu’il épousera réellement cette séduisante jeune personne ?']	s’écria la duchesse
Q41	Je pense qu’elle a bien l’intention de le lui proposer, Duchesse.	['Je pense qu’elle a bien l’intention de le lui proposer, Duchesse.']	
Q42	Quelle horreur !	['Quelle horreur !']	s’exclama lady Agathe
Q43	Je sais de bonne source que son père tient un magasin de nouveautés en Amérique.	['Je sais de bonne source que son père tient un magasin de nouveautés en Amérique.']	dit sir Thomas Burdon avec dédain
Q44	Mon oncle les croyait marchand de cochons, sir Thomas.	['Mon oncle les croyait marchand de cochons, sir Thomas.']	
Q45	Des nouveautés ! Qu’est-ce que c’est que les nouveautés américaines ?	['Des nouveautés !', 'Qu’est-ce que c’est que les nouveautés américaines ?']	demanda la duchesse
Q46	Des romans américains !	['Des romans américains !']	répondit lord Henry
Q47	Ne faites pas attention à lui, ma chère, il ne sait jamais ce qu’il dit.	['Ne faites pas attention à lui, ma chère,', 'il ne sait jamais ce qu’il dit.']	murmura lady Agathe
Q48	Quand l’Amérique fût découverte…	['Quand l’Amérique fût découverte…']	dit le radical
Q49	Plût à Dieu qu’on ne l’eut jamais découverte ! vraiment nos filles n’ont pas de chances aujourd’hui, c’est tout à fait injuste !	['Plût à Dieu qu’on ne l’eut jamais découverte !', 'vraiment nos filles n’ont pas de chances aujourd’hui, c’est tout à fait injuste !']	s’exclama-t-elle
Q50	Peut-être après tout, l’Amérique n’a-t-elle jamais été découverte. Pour ma part, je dirai volontiers qu’elle est à peine connue.	['Peut-être après tout, l’Amérique n’a-t-elle jamais été découverte.', 'Pour ma part, je dirai volontiers qu’elle est à peine connue.']	dit M. Erskine
Q51	Oh ! nous avons cependant, vu des spécimens de ses habitantes. Je dois confesser que la plupart sont très jolies. Et leurs toilettes aussi. Elles s’habillent toutes à Paris. Je voudrais pouvoir en faire autant.	['Oh ! nous avons cependant, vu des spécimens de ses habitantes.', 'Je dois confesser que la plupart sont très jolies.', 'Et leurs toilettes aussi.', 'Elles s’habillent toutes à Paris.', 'Je voudrais pouvoir en faire autant.']	répondit la duchesse d’un ton vague
Q52	On dit que lorsque les bons Américains meurent, ils vont à Paris.	['On dit que lorsque les bons Américains meurent, ils vont à Paris.']	chuchota sir Thomas
Q53	Vraiment ! et où vont les mauvais Américains qui meurent ?	['Vraiment !', 'et où vont les mauvais Américains qui meurent ?']	demanda la duchesse
Q54	Ils vont en Amérique.	['Ils vont en Amérique.']	dit lord Henry
Q55	J’ai peur que votre neveu ne soit prévenu contre ce grand pays, je l’ai parcouru dans des trains fournis par les gouvernants qui, en pareil cas, sont extrêmement civils, je vous assure que c’est un enseignement que cette visite.	['J’ai peur que votre neveu ne soit prévenu contre ce grand pays', 'je l’ai parcouru dans des trains fournis par les gouvernants qui, en pareil cas, sont extrêmement civils', 'je vous assure que c’est un enseignement que cette visite.']	dit-il à lady Agathe
Q56	Mais faut-il donc que nous visitions Chicago pour notre éducation, J’augure peu du voyage.	['Mais faut-il donc que nous visitions Chicago pour notre éducation,', 'J’augure peu du voyage.']	demanda plaintivement M. Erskine
Q57	M. Erskine de Treadley se soucie peu du monde. Nous autres, hommes pratiques, nous aimons à voir les choses par nous-mêmes, au lieu de lire ce qu’on en rapporte. Les Américains sont un peuple extrêmement intéressant. Ils sont tout à fait raisonnables. Je crois que c’est là leur caractère distinctif. Oui, M. Erskine, un peuple absolument raisonnable, je vous assure qu’il n’y a pas de niaiseries chez les Américains.	['M. Erskine de Treadley se soucie peu du monde.', 'Nous autres, hommes pratiques, nous aimons à voir les choses par nous-mêmes, au lieu de lire ce qu’on en rapporte.', 'Les Américains sont un peuple extrêmement intéressant.', 'Ils sont tout à fait raisonnables.', 'Je crois que c’est là leur caractère distinctif.', 'Oui, M. Erskine, un peuple absolument raisonnable, je vous assure qu’il n’y a pas de niaiseries chez les Américains.']	
Q58	Quelle horreur ! je peux admettre la force brutale, mais la raison brutale est insupportable.	['Quelle horreur !', 'je peux admettre la force brutale, mais la raison brutale est insupportable.']	s’écria lord Henry
Q59	Je ne vous comprends pas.	['Je ne vous comprends pas.']	dit sir Thomas
Q60	Moi, je comprends, murmura M. Erskine avec un sourire.	['Moi, je comprends.']	murmura M. Erskine
Q61	Les paradoxes vont bien…	['Les paradoxes vont bien…']	remarqua le baronet
Q62	Était-ce un paradoxe ? Je ne le crois pas. C’est possible, mais le chemin du paradoxe est celui de la vérité. Pour éprouver la réalité il faut la voir sur la corde raide. Quand les vérités deviennent des acrobates nous pouvons les juger.	['Était-ce un paradoxe ?', 'Je ne le crois pas.', 'C’est possible, mais le chemin du paradoxe est celui de la vérité.', 'Pour éprouver la réalité il faut la voir sur la corde raide.', 'Quand les vérités deviennent des acrobates nous pouvons les juger.']	demanda M. Erskine
Q63	Mon Dieu ! comme vous parlez, vous autres hommes !… Je suis sûre que je ne pourrai jamais vous comprendre. Oh ! Harry, je suis tout à fait fâchée contre vous. Pourquoi essayez-vous de persuader à notre charmant M. Dorian Gray d’abandonner l’East-End. Je vous assure qu’il y serait apprécié. On aimerait beaucoup son talent.	['Mon Dieu !', 'comme vous parlez, vous autres hommes !…', 'Je suis sûre que je ne pourrai jamais vous comprendre.', 'Oh ! Harry, je suis tout à fait fâchée contre vous.', 'Pourquoi essayez-vous de persuader à notre charmant M. Dorian Gray d’abandonner l’East-End.', 'Je vous assure qu’il y serait apprécié.', 'On aimerait beaucoup son talent.']	dit lady Agathe
Q64	Je veux qu’il joue pour moi seul,	['Je veux qu’il joue pour moi seul,']	s’écria lord Henry souriant
Q65	Mais ils sont si malheureux à Whitechapel.	['Mais ils sont si malheureux à Whitechapel.']	continua Lady Agathe
Q66	Je puis sympathiser avec n’importe quoi, excepté avec la souffrance. Je ne puis sympathiser avec cela. C’est trop laid, trop horrible, trop affligeant. Il y a quelque chose de terriblement maladif dans la pitié moderne. On peut s’émouvoir des couleurs, de la beauté, de la joie de vivre. Moins on parle des plaies sociales, mieux cela vaut.	['Je puis sympathiser avec n’importe quoi, excepté avec la souffrance.', 'Je ne puis sympathiser avec cela.', 'C’est trop laid, trop horrible, trop affligeant.', 'Il y a quelque chose de terriblement maladif dans la pitié moderne.', 'On peut s’émouvoir des couleurs, de la beauté, de la joie de vivre.', 'Moins on parle des plaies sociales, mieux cela vaut.']	dit lord Henry en haussant les épaules
Q67	Cependant, l’East-End soulève un important problème.	['Cependant, l’East-End soulève un important problème.']	dit gravement sir Thomas avec un hochement de tête
Q68	Tout à fait. C’est le problème de l’esclavage et nous essayons de le résoudre en amusant les esclaves.	['Tout à fait.', 'C’est le problème de l’esclavage et nous essayons de le résoudre en amusant les esclaves.']	répondit le jeune lord
Q69	Quels changements proposez-vous, alors ?	['Quels changements proposez-vous, alors ?']	demanda-t-il
Q70	Je ne désire rien changer en Angleterre excepté la température, répondit-il, je suis parfaitement satisfait de la contemplation philosophique. Mais comme le dix-neuvième siècle va à la banqueroute, avec sa dépense exagérée de sympathie, je proposerais d’en appeler à la science pour nous remettre dans le droit chemin. Le mérite des émotions est de nous égarer, et le mérite de la science est de n’être pas émouvant.	['Je ne désire rien changer en Angleterre excepté la température,', 'je suis parfaitement satisfait de la contemplation philosophique.', 'Mais comme le dix-neuvième siècle va à la banqueroute, avec sa dépense exagérée de sympathie,', 'je proposerais d’en appeler à la science pour nous remettre dans le droit chemin.', 'Le mérite des émotions est de nous égarer, et le mérite de la science est de n’être pas émouvant.']	répondit-il
Q71	Mais nous avons de telles responsabilités.	['Mais nous avons de telles responsabilités.']	hasarda timidement Mme Vandeleur
Q72	Terriblement graves !	['Terriblement graves !']	répéta lady Agathe
Q73	L’humanité se prend beaucoup trop au sérieux ; c’est le péché originel du monde. Si les hommes des cavernes avaient su rire, l’Histoire serait bien différente.	['L’humanité se prend beaucoup trop au sérieux ; c’est le péché originel du monde.', 'Si les hommes des cavernes avaient su rire, l’Histoire serait bien différente.']	
Q74	Vous êtes vraiment consolant, murmura la duchesse, je me sentais toujours un peu coupable lorsque je venais voir votre chère tante, car je ne trouve aucun intérêt dans l’East-End. Désormais je serai capable de la regarder en face sans rougir.	['Vous êtes vraiment consolant', 'je me sentais toujours un peu coupable lorsque je venais voir votre chère tante', 'car je ne trouve aucun intérêt dans l’East-End', 'Désormais je serai capable de la regarder en face sans rougir.']	murmura la duchesse
Q75	Rougir est très bien porté.	['Rougir est très bien porté.']	remarqua lord Henry
Q76	Seulement lorsqu’on est jeune, mais quand une vieille femme comme moi rougit, c’est bien mauvais signe. Ah ! Lord Henry, je voudrais bien que vous m’appreniez à redevenir jeune !	['Seulement lorsqu’on est jeune,', 'mais quand une vieille femme comme moi rougit, c’est bien mauvais signe.', 'Ah ! Lord Henry, je voudrais bien que vous m’appreniez à redevenir jeune !']	répondit-elle
Q77	Pouvez-vous vous rappeler un gros péché que vous auriez commis dans vos premières années.	['Pouvez-vous vous rappeler un gros péché que vous auriez commis dans vos premières années.']	demanda-t-il
Q78	D’un grand nombre, je le crains.	['D’un grand nombre, je le crains.']	s’écria-t-elle
Q79	Eh bien ! commettez-les encore, Pour redevenir jeune on n’a guère qu’à recommencer ses folies.	['Eh bien ! commettez-les encore,', 'Pour redevenir jeune on n’a guère qu’à recommencer ses folies.']	dit-il gravement
Q80	C’est une délicieuse théorie. Il faudra que je la mette en pratique.	['C’est une délicieuse théorie.', 'Il faudra que je la mette en pratique.']	
Q81	Une dangereuse théorie	['Une dangereuse théorie']	prononça sir Thomas
Q82	Oui ! c’est un des grands secrets de la vie. Aujourd’hui beaucoup de gens meurent d’un bon sens terre à terre et s’aperçoivent trop tard que les seules choses qu’ils regrettent sont leurs propres erreurs.	['Oui !', 'c’est un des grands secrets de la vie.', 'Aujourd’hui beaucoup de gens meurent d’un bon sens terre à terre et s’aperçoivent trop tard que les seules choses qu’ils regrettent sont leurs propres erreurs.']	continua lord Henry
Q83	Que c’est ennuyeux ! Il faut que je parte ; je dois rejoindre mon mari au club pour aller à un absurde meeting, qu’il doit présider aux Willis’s Rooms. Si je suis en retard il sera sûrement furieux, et je ne puis avoir une scène avec ce chapeau. Il est beaucoup trop fragile. Le moindre mot le mettrait en pièces. Non, il faut que je parte, chère Agathe. Au revoir, lord Henry, vous êtes tout à fait délicieux et terriblement démoralisant. Je ne sais que dire de vos idées. Il faut que vous veniez dîner chez nous. Mardi par exemple, êtes-vous libre mardi ?	['Que c’est ennuyeux !', 'Il faut que je parte ; je dois rejoindre mon mari au club pour aller à un absurde meeting, qu’il doit présider aux Willis’s Rooms.', 'Si je suis en retard il sera sûrement furieux, et je ne puis avoir une scène avec ce chapeau.', 'Il est beaucoup trop fragile.', 'Le moindre mot le mettrait en pièces.', 'Non, il faut que je parte, chère Agathe.', 'Au revoir, lord Henry, vous êtes tout à fait délicieux et terriblement démoralisant.', 'Je ne sais que dire de vos idées.', 'Il faut que vous veniez dîner chez nous.', 'Mardi par exemple, êtes-vous libre mardi ?']	s’écria-t-elle
Q84	Pour vous j’abandonnerais tout le monde, duchesse.	['Pour vous j’abandonnerais tout le monde, duchesse.']	dit lord Henry avec une révérence
Q85	Ah ! c’est charmant, mais très mal de votre part, donc, pensez à venir !	['Ah ! c’est charmant, mais très mal de votre part, donc, pensez à venir !']	
Q86	Vous parlez comme un livre, pourquoi n’en écrivez-vous pas ?	['Vous parlez comme un livre,', 'pourquoi n’en écrivez-vous pas ?']	dit-il
Q87	J’aime trop à lire ceux des autres pour songer à en écrire moi-même, monsieur Erskine. J’aimerais à écrire un roman, en effet, mais un roman qui serait aussi adorable qu’un tapis de Perse et aussi irréel. Malheureusement, il n’y a pas en Angleterre de public littéraire excepté pour les journaux, les bibles et les encyclopédies ; moins que tous les peuples du monde, les Anglais ont le sens de la beauté littéraire.	['J’aime trop à lire ceux des autres pour songer à en écrire moi-même, monsieur Erskine.', 'J’aimerais à écrire un roman, en effet, mais un roman qui serait aussi adorable qu’un tapis de Perse et aussi irréel.', 'Malheureusement, il n’y a pas en Angleterre de public littéraire excepté pour les journaux, les bibles et les encyclopédies ; moins que tous les peuples du monde, les Anglais ont le sens de la beauté littéraire.']	
Q88	J’ai peur que vous n’ayez raison, j’ai eu moi-même une ambition littéraire, mais je l’ai abandonnée il y a longtemps. Et maintenant, mon cher et jeune ami, si vous me permettez de vous appeler ainsi, puis-je vous demander si vous pensiez réellement tout ce que vous nous avez dit en déjeunant.	['J’ai peur que vous n’ayez raison', 'j’ai eu moi-même une ambition littéraire', 'mais je l’ai abandonnée il y a longtemps', 'Et maintenant, mon cher et jeune ami, si vous me permettez de vous appeler ainsi', 'puis-je vous demander si vous pensiez réellement tout ce que vous nous avez dit en déjeunant.']	répondit M. Erskine
Q89	J’ai complètement oublié ce que j’ai dit, Était-ce tout à fait mal ?	['J’ai complètement oublié ce que j’ai dit,', 'Était-ce tout à fait mal ?']	repartit lord Henry en souriant
