qId,qTextArr,qSpan,qText,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts
Q10,"['Not at all, sir. It is a beautiful moonlight night; and so mild that I\nmust draw back from your great fire.']","[[9808, 9915]]","Not at all, sir. It is a beautiful moonlight night; and so mild that I must draw back from your great fire.",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"[['sir', 'your']]","[[[9820, 9823], [9899, 9903]]]","[[['Mr. Woodhouse'], ['Mr. Woodhouse']]]"
Q11,['But you must have found it very damp and dirty. I wish you may not\ncatch cold.'],"[[9919, 9997]]","But you must have found it very damp and dirty. I wish you may not catch cold.",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Implicit,,"[['you', 'you']]","[[[9923, 9926], [9974, 9977]]]","[[['Mr. Knightley'], ['Mr. Knightley']]]"
Q12,"['Dirty, sir! Look at my shoes. Not a speck on them.']","[[10001, 10051]]","Dirty, sir! Look at my shoes. Not a speck on them.",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,[['sir']],"[[[10008, 10011]]]",[[['Mr. Woodhouse']]]
Q13,"['Well! that is quite surprising, for we have had a vast deal of rain\nhere. It rained dreadfully hard for half an hour while we were at\nbreakfast. I wanted them to put off the wedding.']","[[10055, 10237]]","Well! that is quite surprising, for we have had a vast deal of rain here. It rained dreadfully hard for half an hour while we were at breakfast. I wanted them to put off the wedding.",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Implicit,,"[['we', 'we']]","[[[10091, 10093], [10178, 10180]]]","[[['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]]"
Q14,"['By the bye--I have not wished you joy. Being pretty well aware of what\nsort of joy you must both be feeling, I have been in no hurry with my\ncongratulations; but I hope it all went off tolerably well. How did you\nall behave? Who cried most?']","[[10241, 10481]]","By the bye--I have not wished you joy. Being pretty well aware of what sort of joy you must both be feeling, I have been in no hurry with my congratulations; but I hope it all went off tolerably well. How did you all behave? Who cried most?",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"[['you', 'you', 'you\nall']]","[[[10271, 10274], [10324, 10327], [10450, 10457]]]","[[['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]]"
Q15,"[""Ah! poor Miss Taylor! 'Tis a sad business.""]","[[10485, 10527]]",Ah! poor Miss Taylor! 'Tis a sad business.,Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Implicit,,[['poor Miss Taylor']],"[[[10489, 10505]]]",[[['Mrs. Weston']]]
Q16,"['Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say']","[[10531, 10600]]","Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"[['Poor Mr. and Miss Woodhouse', 'you']]","[[[10531, 10558], [10563, 10566]]]","[[['Emma', 'Mr. Woodhouse'], ['Mr. Woodhouse']]]"
Q17,"['I have a great regard for you and Emma; but when it\ncomes to the question of dependence or independence!--At any rate, it\nmust be better to have only one to please than two.']","[[10621, 10794]]","I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two.",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"[['you', 'Emma']]","[[[10647, 10650], [10655, 10659]]]","[[['Mr. Woodhouse'], ['Emma']]]"
Q18,"['Especially when _one_ of those two is such a fanciful, troublesome\ncreature!', 'That is what you have in your head, I\nknow--and what you would certainly say if my father were not by.']","[[10798, 10874], [10898, 11000]]","Especially when _one_ of those two is such a fanciful, troublesome creature! That is what you have in your head, I know--and what you would certainly say if my father were not by.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,"[[], ['you', 'your', 'you', 'my father']]","[[], [[10911, 10914], [10923, 10927], [10951, 10954], [10978, 10987]]]","[[], [['Mr. Knightley'], ['Mr. Knightley'], ['Mr. Knightley'], ['Mr. Woodhouse']]]"
Q19,"['I believe it is very true, my dear, indeed,', 'I am afraid I am sometimes very fanciful and troublesome.']","[[11004, 11047], [11083, 11140]]","I believe it is very true, my dear, indeed, I am afraid I am sometimes very fanciful and troublesome.",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Explicit,said Mr Woodhouse,"[['my dear'], []]","[[[11031, 11038]], []]","[[['Emma']], []]"
Q20,"['My dearest papa! You do not think I could mean _you_, or suppose Mr.\nKnightley to mean _you_. What a horrible idea! Oh no! I meant only\nmyself. Mr. Knightley loves to find fault with me, you know--in a\njoke--it is all a joke. We always say what we like to one another.']","[[11144, 11412]]","My dearest papa! You do not think I could mean _you_, or suppose Mr. Knightley to mean _you_. What a horrible idea! Oh no! I meant only myself. Mr. Knightley loves to find fault with me, you know--in a joke--it is all a joke. We always say what we like to one another.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Implicit,,"[['My dearest papa', 'You', 'you', 'Mr.\nKnightley', 'you', 'Mr. Knightley', 'you', 'We', 'we']]","[[[11144, 11159], [11161, 11164], [11192, 11195], [11209, 11222], [11232, 11235], [11288, 11301], [11331, 11334], [11370, 11372], [11389, 11391]]]","[[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Knightley'], ['Mr. Woodhouse'], ['Mr. Knightley'], ['Mr. Woodhouse'], ['Emma', 'Mr. Knightley'], ['Emma', 'Mr. Knightley']]]"
Q21,"['Emma knows I never flatter her,', 'but I meant no\nreflection on any body. Miss Taylor has been used to have two persons\nto please; she will now have but one. The chances are that she must be a\ngainer.']","[[11778, 11809], [11832, 11997]]","Emma knows I never flatter her, but I meant no reflection on any body. Miss Taylor has been used to have two persons to please; she will now have but one. The chances are that she must be a gainer.",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Explicit,said Mr Knightley,"[['Emma', 'her'], ['Miss Taylor']]","[[[11778, 11782], [11805, 11808]], [[11871, 11882]]]","[[['Emma'], ['Emma']], [['Mrs. Weston']]]"
Q22,"['Well,', 'you want to hear about\nthe wedding; and I shall be happy to tell you, for we all behaved\ncharmingly. Every body was punctual, every body in their best looks: not\na tear, and hardly a long face to be seen. Oh no; we all felt that we\nwere going to be only half a mile apart, and were sure of meeting every\nday.']","[[12001, 12006], [12044, 12352]]","Well, you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly. Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen. Oh no; we all felt that we were going to be only half a mile apart, and were sure of meeting every day.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,"[[], ['you', 'you', 'we all', 'we all', 'we']]","[[], [[12044, 12047], [12109, 12112], [12118, 12124], [12256, 12262], [12273, 12275]]]","[[], [['Mr. Knightley'], ['Mr. Knightley'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse', 'Mr. Weston', 'Mrs. Weston'], ['Emma', 'Mr. Woodhouse', 'Mr. Weston', 'Mrs. Weston']]]"
Q23,"['Dear Emma bears every thing so well,', 'But, Mr.\nKnightley, she is really very sorry to lose poor Miss Taylor, and I am\nsure she _will_ miss her more than she thinks for.']","[[12356, 12392], [12412, 12542]]","Dear Emma bears every thing so well, But, Mr. Knightley, she is really very sorry to lose poor Miss Taylor, and I am sure she _will_ miss her more than she thinks for.",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Anaphoric,said her father,"[['Dear Emma'], ['Mr.\nKnightley', 'she', 'poor Miss Taylor', 'she', 'she']]","[[[12356, 12365]], [[12417, 12430], [12432, 12435], [12465, 12481], [12497, 12500], [12527, 12530]]]","[[['Emma']], [['Mr. Knightley'], ['Emma'], ['Mrs. Weston'], ['Emma'], ['Emma']]]"
Q24,"['It\nis impossible that Emma should not miss such a companion,', ""We should not like her so well as we do, sir, if we could\nsuppose it; but she knows how much the marriage is to Miss Taylor's\nadvantage; she knows how very acceptable it must be, at Miss Taylor's\ntime of life, to be settled in a home of her own, and how important to\nher to be secure of a comfortable provision, and therefore cannot allow\nherself to feel so much pain as pleasure. Every friend of Miss Taylor\nmust be glad to have her so happily married.""]","[[12607, 12667], [12690, 13143]]","It is impossible that Emma should not miss such a companion, We should not like her so well as we do, sir, if we could suppose it; but she knows how much the marriage is to Miss Taylor's advantage; she knows how very acceptable it must be, at Miss Taylor's time of life, to be settled in a home of her own, and how important to her to be secure of a comfortable provision, and therefore cannot allow herself to feel so much pain as pleasure. Every friend of Miss Taylor must be glad to have her so happily married.",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Explicit,said Mr Knightley,"[['Emma'], ['We', 'we', 'sir', 'we', 'she', 'Miss Taylor', 'she', 'Miss Taylor', 'her', 'her', 'Miss Taylor', 'her']]","[[[12629, 12633]], [[12690, 12692], [12724, 12726], [12731, 12734], [12739, 12741], [12764, 12767], [12802, 12813], [12827, 12830], [12872, 12883], [12927, 12930], [12957, 12960], [13087, 13098], [13120, 13123]]]","[[['Emma']], [['Knightley', 'Mr. Woodhouse'], ['Knightley', 'Mr. Woodhouse'], ['Mr. Woodhouse'], ['Knightley', 'Mr. Woodhouse'], ['Emma'], ['Mrs. Weston'], ['Emma'], ['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston']]]"
Q25,"['And you have forgotten one matter of joy to me,', 'and a very\nconsiderable one--that I made the match myself. I made the match, you\nknow, four years ago; and to have it take place, and be proved in the\nright, when so many people said Mr. Weston would never marry again, may\ncomfort me for any thing.']","[[13147, 13194], [13208, 13456]]","And you have forgotten one matter of joy to me, and a very considerable one--that I made the match myself. I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said Mr. Weston would never marry again, may comfort me for any thing.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,"[['you'], ['Mr. Weston']]","[[[13151, 13154]], [[13391, 13401]]]","[[['Mr. Knightley']], [['Mr. Weston']]]"
Q26,"['Ah!\nmy dear, I wish you would not make matches and foretell things, for\nwhatever you say always comes to pass. Pray do not make any more\nmatches.']","[[13524, 13669]]","Ah! my dear, I wish you would not make matches and foretell things, for whatever you say always comes to pass. Pray do not make any more matches.",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Anaphoric,Her father fondly replied,"[['my dear', 'you', 'you']]","[[[13528, 13535], [13544, 13547], [13605, 13608]]]","[[['Emma'], ['Emma'], ['Emma']]]"
Q27,"['I promise you to make none for myself, papa; but I must, indeed, for\nother people. It is the greatest amusement in the world! And after such\nsuccess, you know!--Every body said that Mr. Weston would never marry\nagain. Oh dear, no! Mr. Weston, who had been a widower so long, and who\nseemed so perfectly comfortable without a wife, so constantly occupied\neither in his business in town or among his friends here, always\nacceptable wherever he went, always cheerful--Mr. Weston need not spend\na single evening in the year alone if he did not like it. Oh no! Mr.\nWeston certainly would never marry again. Some people even talked of a\npromise to his wife on her deathbed, and others of the son and the\nuncle not letting him. All manner of solemn nonsense was talked on the\nsubject, but I believed none of it.']","[[13673, 14477]]","I promise you to make none for myself, papa; but I must, indeed, for other people. It is the greatest amusement in the world! And after such success, you know!--Every body said that Mr. Weston would never marry again. Oh dear, no! Mr. Weston, who had been a widower so long, and who seemed so perfectly comfortable without a wife, so constantly occupied either in his business in town or among his friends here, always acceptable wherever he went, always cheerful--Mr. Weston need not spend a single evening in the year alone if he did not like it. Oh no! Mr. Weston certainly would never marry again. Some people even talked of a promise to his wife on her deathbed, and others of the son and the uncle not letting him. All manner of solemn nonsense was talked on the subject, but I believed none of it.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Implicit,,"[['you', 'papa', 'you', 'Mr. Weston', 'Mr. Weston', 'his', 'his', 'he', 'Mr. Weston', 'he', 'Mr.\nWeston', 'his', 'the son', 'him']]","[[[13683, 13686], [13712, 13716], [13823, 13826], [13855, 13865], [13904, 13914], [14037, 14040], [14067, 14070], [14112, 14114], [14138, 14148], [14202, 14204], [14229, 14239], [14315, 14318], [14355, 14362], [14389, 14392]]]","[[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Frank Churchill'], ['Mr. Weston']]]"
Q28,"[""Ever since the day--about four years ago--that Miss Taylor and I met\nwith him in Broadway Lane, when, because it began to drizzle, he darted\naway with so much gallantry, and borrowed two umbrellas for us from\nFarmer Mitchell's, I made up my mind on the subject. I planned the match\nfrom that hour; and when such success has blessed me in this instance,\ndear papa, you cannot think that I shall leave off match-making.""]","[[14481, 14898]]","Ever since the day--about four years ago--that Miss Taylor and I met with him in Broadway Lane, when, because it began to drizzle, he darted away with so much gallantry, and borrowed two umbrellas for us from Farmer Mitchell's, I made up my mind on the subject. I planned the match from that hour; and when such success has blessed me in this instance, dear papa, you cannot think that I shall leave off match-making.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Implicit,,"[['Miss Taylor', 'him', 'he', 'us', 'dear papa', 'you']]","[[[14528, 14539], [14555, 14558], [14612, 14614], [14682, 14684], [14834, 14843], [14845, 14848]]]","[[['Mrs. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Emma', 'Mrs. Weston'], ['Mr. Woodhouse'], ['Mr. Woodhouse']]]"
Q29,"[""I do not understand what you mean by 'success,'"", ""Success supposes endeavour. Your time has been properly and delicately\nspent, if you have been endeavouring for the last four years to bring\nabout this marriage. A worthy employment for a young lady's mind! But\nif, which I rather imagine, your making the match, as you call it, means\nonly your planning it, your saying to yourself one idle day, 'I think it\nwould be a very good thing for Miss Taylor if Mr. Weston were to marry\nher,' and saying it again to yourself every now and then afterwards, why\ndo you talk of success? Where is your merit? What are you proud of? You\nmade a lucky guess; and _that_ is all that can be said.""]","[[14902, 14949], [14972, 15600]]","I do not understand what you mean by 'success,' Success supposes endeavour. Your time has been properly and delicately spent, if you have been endeavouring for the last four years to bring about this marriage. A worthy employment for a young lady's mind! But if, which I rather imagine, your making the match, as you call it, means only your planning it, your saying to yourself one idle day, 'I think it would be a very good thing for Miss Taylor if Mr. Weston were to marry her,' and saying it again to yourself every now and then afterwards, why do you talk of success? Where is your merit? What are you proud of? You made a lucky guess; and _that_ is all that can be said.",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Explicit,said Mr Knightley,"[['you'], ['Your', 'you', 'your', 'you', 'your', 'your', 'Miss Taylor', 'you', 'your', 'you', 'You']]","[[[14927, 14930]], [[15000, 15004], [15053, 15056], [15211, 15215], [15237, 15240], [15261, 15265], [15279, 15283], [15360, 15371], [15476, 15479], [15506, 15510], [15527, 15530], [15541, 15544]]]","[[['Emma']], [['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Mrs. Weston'], ['Emma'], ['Emma'], ['Emma'], ['Emma']]]"
Q30,"[""And have you never known the pleasure and triumph of a lucky guess?--I\npity you.--I thought you cleverer--for, depend upon it a lucky guess is\nnever merely luck. There is always some talent in it. And as to my\npoor word 'success,' which you quarrel with, I do not know that I am so\nentirely without any claim to it. You have drawn two pretty pictures;\nbut I think there may be a third--a something between the do-nothing and\nthe do-all. If I had not promoted Mr. Weston's visits here, and given\nmany little encouragements, and smoothed many little matters, it might\nnot have come to any thing after all. I think you must know Hartfield\nenough to comprehend that.""]","[[15604, 16266]]","And have you never known the pleasure and triumph of a lucky guess?--I pity you.--I thought you cleverer--for, depend upon it a lucky guess is never merely luck. There is always some talent in it. And as to my poor word 'success,' which you quarrel with, I do not know that I am so entirely without any claim to it. You have drawn two pretty pictures; but I think there may be a third--a something between the do-nothing and the do-all. If I had not promoted Mr. Weston's visits here, and given many little encouragements, and smoothed many little matters, it might not have come to any thing after all. I think you must know Hartfield enough to comprehend that.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Implicit,,[['Mr. Weston']],"[[[16063, 16073]]]",[[['Mr. Weston']]]
Q31,"['A straightforward, open-hearted man like Weston, and a rational,\nunaffected woman like Miss Taylor, may be safely left to manage their\nown concerns. You are more likely to have done harm to yourself, than\ngood to them, by interference.']","[[16270, 16505]]","A straightforward, open-hearted man like Weston, and a rational, unaffected woman like Miss Taylor, may be safely left to manage their own concerns. You are more likely to have done harm to yourself, than good to them, by interference.",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"[['Weston', 'Miss Taylor', 'their', 'them']]","[[[16311, 16317], [16357, 16368], [16399, 16404], [16483, 16487]]]","[[['Mr. Weston'], ['Mrs. Weston'], ['Mrs. Weston', 'Mr. Weston'], ['Mr. Weston', 'Mrs. Weston']]]"
Q32,"['Emma never thinks of herself, if she can do good to others,', ""But, my dear, pray do not\nmake any more matches; they are silly things, and break up one's family\ncircle grievously.""]","[[16509, 16568], [16622, 16738]]","Emma never thinks of herself, if she can do good to others, But, my dear, pray do not make any more matches; they are silly things, and break up one's family circle grievously.",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Explicit,rejoined Mr Woodhouse,"[['Emma', 'she'], ['my dear']]","[[[16509, 16513], [16542, 16545]], [[16627, 16634]]]","[[['Emma'], ['Emma']], [['Emma']]]"
Q33,"['Only one more, papa; only for Mr. Elton. Poor Mr. Elton! You like Mr.\nElton, papa,--I must look about for a wife for him. There is nobody in\nHighbury who deserves him--and he has been here a whole year, and has\nfitted up his house so comfortably, that it would be a shame to have him\nsingle any longer--and I thought when he was joining their hands to-day,\nhe looked so very much as if he would like to have the same kind office\ndone for him! I think very well of Mr. Elton, and this is the only way I\nhave of doing him a service.']","[[16742, 17272]]","Only one more, papa; only for Mr. Elton. Poor Mr. Elton! You like Mr. Elton, papa,--I must look about for a wife for him. There is nobody in Highbury who deserves him--and he has been here a whole year, and has fitted up his house so comfortably, that it would be a shame to have him single any longer--and I thought when he was joining their hands to-day, he looked so very much as if he would like to have the same kind office done for him! I think very well of Mr. Elton, and this is the only way I have of doing him a service.",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Implicit,,"[['papa', 'Mr. Elton', 'Mr. Elton', 'You', 'Mr.\nElton', 'papa', 'him', 'him', 'he', 'his', 'him', 'he', 'their', 'he', 'he', 'him', 'Mr. Elton', 'him']]","[[[16757, 16761], [16772, 16781], [16788, 16797], [16799, 16802], [16808, 16817], [16819, 16823], [16859, 16862], [16905, 16908], [16914, 16916], [16963, 16966], [17022, 17025], [17064, 17066], [17079, 17084], [17099, 17101], [17128, 17130], [17180, 17183], [17206, 17215], [17258, 17261]]]","[[['Mr. Woodhouse'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Woodhouse'], ['Mr. Elton'], ['Mr. Woodhouse'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Weston', 'Mrs. Weston'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Elton'], ['Mr. Elton']]]"
Q34,"['Mr. Elton is a very pretty young man, to be sure, and a very good young\nman, and I have a great regard for him. But if you want to shew him any\nattention, my dear, ask him to come and dine with us some day. That will\nbe a much better thing. I dare say Mr. Knightley will be so kind as to\nmeet him.']","[[17276, 17573]]","Mr. Elton is a very pretty young man, to be sure, and a very good young man, and I have a great regard for him. But if you want to shew him any attention, my dear, ask him to come and dine with us some day. That will be a much better thing. I dare say Mr. Knightley will be so kind as to meet him.",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Implicit,,"[['Mr. Elton', 'him', 'you', 'him', 'my dear', 'him', 'us', 'Mr. Knightley', 'him']]","[[[17276, 17285], [17383, 17386], [17395, 17398], [17412, 17415], [17431, 17438], [17444, 17447], [17470, 17472], [17528, 17541], [17569, 17572]]]","[[['Mr. Elton'], ['Mr. Elton'], ['Emma'], ['Mr. Elton'], ['Emma'], ['Mr. Elton'], ['Emma', 'Mr. Woodhouse'], ['Mr. Knightley'], ['Mr. Elton']]]"
